"Timestamp","Imagem 1","Imagem 2","Imagem 3","Imagem 4","Imagem 5","Imagem 1","Imagem 2","Imagem 3","Imagem 4","Imagem 5","Imagem 1","Imagem 2","Imagem 3","Imagem 4","Imagem 5","Imagem 1","Imagem 2","Imagem 3","Imagem 4","Imagem 5","Imagem 1","Imagem 2","Imagem 3","Imagem 4","Imagem 5","Imagem 1","Imagem 2","Imagem 3","Imagem 4","Imagem 5","Imagem 1","Imagem 2","Imagem 3","Imagem 4","Imagem 5","Imagem 1","Imagem 2","Imagem 3","Imagem 4","Imagem 5","Imagem 1","Imagem 2","Imagem 3","Imagem 4","Imagem 5","Imagem 1","Imagem 2","Imagem 3","Imagem 4","Imagem 5","Imagem 1","Imagem 2","Imagem 3","Imagem 4","Imagem 5"
"2020/06/07 11:18:36 PM GMT-3","5","4","4","3","3","2","4","4","4","4","2","4","3","4","4","3","4","4","2","4","2","2","2","2","2","2","2","4","1","4","3","2","2","1","2","2","1","2","2","2","3","2","2","1","3","2","2","2","2","2","3","3","4","2","4"
"2020/06/07 11:28:53 PM GMT-3","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","3","2","3","3","2","3","3","3","2","4","1","1","1","1","1","1","1","1","2","1","1","5","1","1","1","1","1","1","1","1"
"2020/06/07 11:30:04 PM GMT-3","2","3","2","1","3","1","1","1","1","2","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","2","1","1","1","1","1","1","2","1","1","2","1","1","1","1","2","1","1","1","1","1","1","1","1","2","1","1","1"
"2020/06/07 11:30:31 PM GMT-3","2","3","2","4","3","2","3","4","2","5","2","3","3","4","4","4","5","3","2","4","2","2","2","3","3","2","2","3","2","3","3","2","2","2","3","2","3","3","2","3","2","2","2","2","3","2","2","2","2","3","2","2","3","2","2"
"2020/06/07 11:31:56 PM GMT-3","2","2","1","1","1","1","1","1","1","3","1","1","1","1","1","3","1","3","1","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2020/06/07 11:32:07 PM GMT-3","3","2","2","1","1","1","3","2","1","3","1","2","1","2","3","3","3","1","2","3","1","2","1","3","1","2","3","2","1","2","2","2","2","1","3","1","1","2","1","3","1","2","3","1","1","3","1","1","1","1","2","2","2","2","3"
"2020/06/07 11:32:29 PM GMT-3","3","2","1","2","1","1","2","2","1","4","1","3","1","2","1","2","1","1","1","2","1","1","1","1","1","1","1","4","1","3","1","1","2","1","2","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","2"
"2020/06/07 11:37:26 PM GMT-3","3","4","2","2","3","1","1","1","1","5","2","4","2","2","4","4","2","2","3","3","1","3","1","3","1","2","2","4","1","3","2","1","2","2","4","1","1","1","1","4","1","1","1","1","2","1","1","1","1","1","1","1","1","1","2"
"2020/06/07 11:42:31 PM GMT-3","2","4","3","3","4","1","2","1","1","5","3","3","3","3","4","5","5","2","3","5","1","2","2","1","1","1","1","3","1","3","2","2","1","3","3","1","1","1","1","4","2","2","4","1","4","1","1","1","1","1","2","2","1","1","1"
"2020/06/07 11:44:27 PM GMT-3","2","3","2","1","1","1","1","1","2","3","1","3","1","1","1","2","3","1","1","3","1","1","1","2","2","1","2","2","1","2","1","1","2","1","4","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","1"
"2020/06/07 11:57:02 PM GMT-3","5","5","3","3","2","1","3","4","5","5","5","4","4","5","3","2","1","1","2","1","2","2","1","1","1","1","1","5","1","2","3","2","4","1","4","1","2","5","1","1","4","2","5","1","4","2","1","1","1","1","3","3","1","1","3"
"2020/06/08 12:04:34 AM GMT-3","2","2","2","2","2","1","1","1","1","2","1","1","1","1","1","2","1","1","1","2","2","2","1","1","1","1","1","3","1","1","1","1","3","1","2","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1"
"2020/06/08 12:29:33 AM GMT-3","2","2","3","2","3","1","3","3","1","3","1","5","3","2","2","3","1","3","1","4","1","2","1","4","2","1","1","5","1","1","2","1","2","1","5","1","1","1","1","1","1","3","5","1","3","3","1","1","3","4","1","3","3","1","5"
"2020/06/08 12:43:46 AM GMT-3","2","2","2","2","2","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","2","1","1","1","2","1","1","3","1","3","1","1","1","1","1","1","1","3","1","1","3","1","1","1","1","1","1","3","1","3"
"2020/06/08 2:24:31 AM GMT-3","2","4","5","2","5","1","3","3","2","5","1","1","1","3","3","4","2","3","3","4","1","2","1","1","2","2","3","3","2","5","1","2","2","1","3","1","1","4","1","4","2","1","1","1","4","1","1","1","1","1","1","2","4","1","4"
"2020/06/08 3:53:47 AM GMT-3","3","4","1","2","2","1","2","2","1","4","1","3","2","3","3","5","5","3","2","5","1","3","2","3","1","1","1","3","1","3","2","1","1","2","3","1","1","3","1","2","1","2","3","1","3","1","1","1","1","2","2","1","2","1","3"
"2020/06/08 8:22:17 AM GMT-3","1","3","3","3","4","1","1","1","2","5","1","3","1","1","3","2","3","1","1","4","1","3","1","2","1","2","1","4","1","4","1","1","2","1","5","2","1","1","1","3","1","1","2","1","4","1","1","1","1","2","2","2","2","1","2"
"2020/06/08 9:16:47 AM GMT-3","4","5","3","2","3","2","1","2","2","5","2","2","1","2","2","4","4","3","2","5","2","2","1","1","1","2","2","4","2","2","2","2","4","3","4","2","2","2","1","2","2","2","3","1","4","2","1","1","1","3","1","2","3","1","3"
"2020/06/08 9:52:10 AM GMT-3","2","3","4","1","2","1","3","2","1","4","1","2","1","2","2","4","3","2","2","3","1","2","1","2","1","3","1","3","1","2","3","1","3","1","4","2","1","1","1","3","1","2","2","1","3","2","1","1","1","2","1","1","2","1","2"
"2020/06/08 10:35:03 AM GMT-3","3","5","3","3","1","1","4","1","1","5","1","1","1","1","1","5","5","4","1","5","1","2","1","1","1","3","3","5","1","3","3","1","4","1","5","1","1","1","1","3","1","1","2","1","4","1","1","1","1","1","1","1","1","1","3"
"2020/06/08 10:46:12 AM GMT-3","3","2","4","2","5","4","4","1","1","1","4","4","4","4","4","4","4","4","4","4","5","5","2","4","4","3","3","4","3","4","5","4","4","4","4","3","2","2","2","3","3","3","3","4","3","1","2","3","1","3","3","3","3","3","4"
"2020/06/08 10:57:49 AM GMT-3","5","4","4","3","3","1","2","1","1","3","2","3","2","2","3","2","1","2","1","2","3","1","1","1","1","1","2","2","1","2","1","1","3","2","4","2","2","2","1","1","2","2","2","1","3","1","1","1","1","2","2","3","2","1","2"
"2020/06/08 11:16:03 AM GMT-3","2","4","2","1","1","1","3","2","2","5","1","2","1","2","3","3","4","2","2","5","2","4","1","1","3","1","2","3","1","4","2","1","3","1","3","1","1","3","2","1","2","2","4","1","3","1","1","1","1","1","2","3","4","1","4"
"2020/06/08 11:41:18 AM GMT-3","3","4","2","2","2","1","2","1","1","4","1","1","1","1","2","4","2","3","1","5","1","1","1","1","1","1","1","4","1","2","3","1","4","2","4","2","2","1","1","3","2","1","2","1","2","1","1","1","1","1","1","1","2","1","2"
"2020/06/08 11:41:44 AM GMT-3","2","2","3","1","2","1","1","2","2","3","1","2","1","1","1","4","1","2","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2020/06/08 12:07:37 PM GMT-3","5","5","5","5","5","1","1","1","3","5","3","5","4","4","5","2","2","2","1","4","2","2","2","3","3","1","1","5","1","3","2","2","1","1","1","1","2","1","1","1","2","1","1","1","2","1","1","1","1","1","1","1","1","1","1"
"2020/06/08 12:08:50 PM GMT-3","3","4","2","1","2","1","2","1","1","3","2","1","2","2","2","3","1","1","1","4","1","1","2","2","1","1","2","2","1","1","1","2","3","2","4","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","2","2","3","1","2"
"2020/06/08 12:11:56 PM GMT-3","3","4","4","3","1","1","1","3","3","5","1","3","2","2","3","5","4","2","1","5","1","1","1","1","1","1","1","5","1","3","2","1","3","1","5","1","1","1","1","4","2","1","1","2","3","1","1","1","1","3","2","2","3","1","4"
"2020/06/08 12:19:00 PM GMT-3","1","2","1","2","2","1","2","1","1","4","1","3","1","1","1","4","3","2","1","4","1","2","2","1","1","1","1","2","1","1","2","1","3","2","2","1","2","2","2","2","1","1","2","1","2","1","1","1","1","1","1","1","1","1","1"
"2020/06/08 12:19:20 PM GMT-3","2","2","1","1","2","1","1","1","1","3","1","2","1","3","3","4","3","2","1","4","1","1","1","1","1","1","1","3","1","3","1","1","2","1","4","1","2","1","1","3","2","2","1","1","3","1","1","1","1","1","1","2","1","1","3"
"2020/06/08 12:20:10 PM GMT-3","3","4","2","3","3","1","1","2","1","4","2","4","2","4","3","4","2","2","3","3","3","3","2","2","2","2","3","3","1","4","2","2","3","1","3","1","1","1","1","4","3","2","4","1","3","1","1","1","1","1","3","2","2","1","3"
"2020/06/08 12:21:32 PM GMT-3","3","4","1","3","1","1","2","1","1","3","2","3","2","3","2","3","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2020/06/08 12:22:05 PM GMT-3","4","4","3","1","2","1","1","1","1","3","1","4","1","3","3","4","2","1","1","3","1","3","1","1","1","1","1","2","1","1","2","1","3","1","3","1","1","1","1","1","1","1","3","1","2","1","1","1","1","1","1","2","2","1","2"
"2020/06/08 12:23:51 PM GMT-3","4","5","1","3","2","1","2","2","1","5","1","2","1","1","1","5","1","1","1","3","1","1","1","1","1","1","1","2","1","3","1","1","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2"
"2020/06/08 12:23:57 PM GMT-3","4","5","1","2","2","1","1","1","2","5","3","5","2","3","3","4","1","1","2","2","1","2","2","2","2","1","2","4","1","3","2","1","3","1","4","1","1","1","1","4","2","1","1","1","3","2","1","1","1","1","1","1","2","1","2"
"2020/06/08 12:26:56 PM GMT-3","1","3","2","2","3","2","3","3","1","3","2","3","2","2","2","3","3","2","2","3","2","2","2","2","2","2","2","4","1","3","2","2","3","2","3","2","2","2","2","4","2","2","3","1","4","2","1","1","1","3","2","2","2","2","3"
"2020/06/08 12:27:14 PM GMT-3","2","4","3","1","2","1","1","2","3","4","1","2","1","4","2","4","4","1","2","4","1","3","2","3","1","1","2","4","1","3","1","1","3","2","3","1","1","1","1","2","1","2","3","1","2","1","1","1","1","1","2","2","2","1","2"
"2020/06/08 12:29:14 PM GMT-3","2","4","2","2","2","1","2","1","1","3","1","2","1","1","1","3","3","1","1","2","1","1","1","1","1","1","1","4","1","2","2","2","3","2","4","1","1","1","1","2","1","1","1","1","2","1","1","1","1","1","1","1","1","1","2"
"2020/06/08 12:34:20 PM GMT-3","2","3","3","1","1","1","1","1","1","4","1","2","1","3","2","3","2","1","1","4","1","1","1","1","1","1","1","2","1","1","2","1","2","1","3","1","1","1","1","1","1","1","2","1","2","1","1","1","1","1","1","1","1","1","1"
"2020/06/08 12:34:39 PM GMT-3","4","5","4","4","4","1","3","3","1","5","1","3","3","2","2","3","1","4","1","5","1","1","1","1","1","1","1","1","1","2","2","1","2","1","3","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","2"
"2020/06/08 12:43:44 PM GMT-3","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","2","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","1","1","2","2","1","1"
"2020/06/08 12:45:20 PM GMT-3","2","2","2","1","2","1","1","1","1","2","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2020/06/08 12:49:35 PM GMT-3","4","4","2","2","1","1","1","2","2","5","1","1","1","1","2","3","1","1","1","2","2","2","1","2","3","1","2","4","1","3","2","1","2","1","5","1","1","1","1","2","1","1","1","1","3","1","1","1","1","1","1","2","2","1","2"
"2020/06/08 12:49:44 PM GMT-3","4","4","2","2","1","1","1","2","2","5","1","1","1","1","2","3","1","1","1","2","2","2","1","2","3","1","2","4","1","3","2","1","2","1","5","1","1","1","1","2","1","1","1","1","3","1","1","1","1","1","1","2","2","1","2"
"2020/06/08 12:56:45 PM GMT-3","1","2","1","1","3","1","1","1","1","5","1","1","1","1","1","5","1","1","1","1","1","1","1","1","5","1","1","1","1","5","1","1","1","1","5","1","1","1","1","5","1","1","1","1","5","1","1","1","1","5","1","2","3","1","3"
"2020/06/08 12:59:23 PM GMT-3","2","2","1","2","2","1","1","1","1","1","1","2","2","2","2","2","2","2","2","4","1","1","1","3","1","1","1","3","1","3","1","1","2","2","4","1","1","1","1","2","1","1","1","1","2","1","1","1","1","2","1","1","1","1","3"
"2020/06/08 1:02:39 PM GMT-3","1","3","1","1","2","1","1","1","1","3","1","3","1","1","1","3","1","2","1","3","1","1","1","1","2","1","1","1","1","1","1","1","2","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2020/06/08 1:04:06 PM GMT-3","2","4","2","2","2","1","2","1","1","3","1","2","1","1","1","3","3","1","1","2","1","1","1","1","1","1","1","4","1","2","2","2","3","2","4","1","1","1","1","2","1","1","1","1","2","1","1","1","1","1","1","1","1","1","2"
"2020/06/08 1:06:15 PM GMT-3","2","3","3","1","1","1","1","2","2","4","1","3","1","1","1","2","1","3","1","4","1","2","1","1","1","1","1","3","1","2","2","1","3","1","4","1","1","1","1","3","1","1","2","1","2","1","1","1","1","3","1","2","3","1","2"
"2020/06/08 1:13:58 PM GMT-3","3","4","3","2","1","2","2","2","4","5","2","2","3","4","4","3","1","3","1","3","2","3","1","3","1","4","2","5","1","1","2","1","3","1","4","1","1","1","1","1","1","1","3","1","4","1","1","1","1","1","1","1","3","1","2"
"2020/06/08 1:16:44 PM GMT-3","3","3","2","1","2","1","2","2","1","4","1","2","1","2","2","4","2","2","1","3","1","2","1","1","1","2","2","3","1","3","3","1","3","1","3","1","1","1","1","2","1","1","3","1","3","1","1","1","1","2","1","2","3","1","2"
"2020/06/08 1:19:56 PM GMT-3","4","5","1","1","3","1","2","4","1","5","1","4","1","1","5","4","5","3","1","5","1","2","3","1","1","3","1","5","1","1","1","1","1","1","4","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","2","2","3","1","3"
"2020/06/08 1:25:44 PM GMT-3","5","5","4","3","2","1","1","2","1","5","1","3","2","1","3","3","1","4","3","4","2","2","1","4","1","1","1","2","1","1","2","1","2","1","3","2","1","1","1","3","2","1","1","1","2","1","1","1","1","1","2","2","2","1","2"
"2020/06/08 1:30:43 PM GMT-3","1","2","1","1","2","1","1","1","1","2","1","1","1","1","2","2","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","1","1","1","1","2","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1"
"2020/06/08 1:43:40 PM GMT-3","3","4","3","3","3","2","2","3","2","5","2","3","3","3","3","4","3","1","1","3","2","2","3","2","3","2","1","2","2","3","2","2","2","2","3","1","1","1","1","3","1","1","2","1","4","1","1","1","1","3","1","1","1","1","2"
"2020/06/08 1:55:37 PM GMT-3","3","1","5","3","1","1","1","1","2","5","1","2","1","2","2","4","4","3","2","5","2","2","4","3","2","3","2","3","1","1","3","1","2","1","5","1","2","3","1","4","1","1","2","1","2","1","2","2","1","2","1","2","2","1","3"
"2020/06/08 2:02:24 PM GMT-3","3","5","2","3","2","1","4","4","2","5","3","4","4","3","5","5","2","3","2","3","3","2","3","4","3","2","4","3","1","5","4","3","4","3","5","1","2","2","1","3","3","2","5","2","4","1","1","1","1","1","2","3","3","1","5"
"2020/06/08 2:16:29 PM GMT-3","5","5","1","1","2","1","1","1","1","5","1","1","1","1","1","1","1","3","1","1","1","1","1","1","1","1","2","2","2","5","1","2","5","1","5","1","3","2","2","3","2","2","2","2","3","1","2","1","2","3","2","2","2","2","2"
"2020/06/08 2:17:06 PM GMT-3","1","3","2","1","1","1","3","4","4","5","1","4","3","4","5","3","2","2","1","4","1","4","3","3","1","1","4","5","3","4","4","1","4","2","4","1","4","5","1","3","2","1","5","1","5","2","1","1","1","3","1","4","4","3","4"
"2020/06/08 3:15:16 PM GMT-3","1","3","1","1","3","1","3","2","2","5","2","3","1","1","4","4","3","1","1","5","1","1","1","2","1","1","2","3","1","3","3","1","3","1","4","1","2","1","1","4","1","1","2","1","2","1","1","1","1","1","1","3","2","1","1"
"2020/06/08 3:27:17 PM GMT-3","5","5","1","1","2","1","1","1","1","5","1","1","1","1","1","1","1","3","1","1","1","1","1","1","1","1","2","2","2","5","1","2","5","1","5","1","3","2","2","3","2","2","2","2","3","1","2","1","2","3","2","2","2","2","2"
"2020/06/08 3:56:46 PM GMT-3","2","4","1","3","2","1","2","1","1","3","2","3","1","3","2","5","3","2","2","4","1","2","1","1","1","1","2","3","2","3","3","2","3","1","3","1","2","2","1","2","1","1","1","1","2","2","1","1","1","1","2","1","1","1","2"
"2020/06/08 4:07:42 PM GMT-3","4","4","2","2","2","1","2","2","2","5","1","1","1","1","3","2","2","2","2","4","1","2","2","2","3","2","2","4","2","3","2","2","4","2","2","1","2","3","2","1","2","1","4","2","3","1","1","1","1","1","1","2","5","1","5"
"2020/06/08 4:53:46 PM GMT-3","2","4","2","2","4","1","3","3","1","4","2","4","2","3","2","4","4","3","1","3","1","2","1","3","2","1","2","2","2","3","2","1","2","1","4","2","2","1","1","2","2","1","3","1","3","1","1","1","1","2","2","2","3","1","4"
"2020/06/08 5:06:43 PM GMT-3","4","3","4","1","2","1","1","2","4","5","3","2","1","4","5","5","4","2","1","3","4","4","3","1","1","2","4","3","1","2","2","1","4","2","5","1","2","1","1","2","1","1","4","3","3","1","1","1","1","2","2","2","3","1","3"
"2020/06/08 5:24:05 PM GMT-3","2","3","3","3","2","1","3","2","1","5","2","3","2","4","4","4","4","2","1","5","1","4","1","3","2","3","3","2","1","1","1","1","3","2","4","2","1","2","1","1","2","1","2","2","3","2","1","1","1","2","1","2","3","1","3"
"2020/06/08 5:29:55 PM GMT-3","2","3","2","1","1","1","3","2","1","4","1","2","1","3","3","3","3","2","2","3","1","2","1","2","1","1","2","3","1","2","1","1","2","2","3","1","1","1","1","2","1","1","2","1","2","2","1","1","1","2","1","1","2","1","3"
"2020/06/08 5:59:02 PM GMT-3","2","4","3","3","2","1","2","3","1","3","2","2","2","2","2","3","3","3","1","3","2","1","1","2","2","1","1","1","1","2","1","1","2","1","2","1","1","1","1","2","1","2","2","1","2","1","1","1","1","1","2","1","2","2","2"
"2020/06/08 6:28:13 PM GMT-3","5","5","4","3","1","1","2","3","4","5","3","3","1","2","3","4","3","5","4","4","4","3","1","2","1","2","2","3","1","4","4","1","5","1","5","1","3","2","2","3","1","2","5","2","4","3","1","2","1","3","3","3","4","1","5"
"2020/06/08 6:40:45 PM GMT-3","4","5","5","2","1","1","1","1","2","5","1","3","1","3","1","5","1","2","1","3","1","1","1","1","1","1","1","3","1","1","2","1","2","1","3","1","1","2","1","1","1","1","2","1","3","1","1","1","1","1","1","1","1","1","2"
"2020/06/08 6:44:45 PM GMT-3","3","4","3","1","3","1","2","2","1","4","1","2","2","2","3","4","2","3","2","4","1","1","1","1","1","2","2","3","1","2","2","1","2","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1"
"2020/06/08 6:48:35 PM GMT-3","1","4","1","1","3","1","1","1","3","5","1","4","1","3","3","5","5","2","2","5","1","2","1","3","1","1","1","2","1","2","3","1","2","1","2","1","1","3","1","2","1","1","1","1","1","2","1","1","1","1","1","1","1","1","2"
"2020/06/08 6:50:43 PM GMT-3","3","3","2","2","1","1","1","2","2","4","1","1","1","1","2","3","2","3","1","4","1","1","1","1","1","2","1","2","1","2","1","1","2","2","3","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2020/06/08 6:50:57 PM GMT-3","4","2","1","1","1","1","1","1","1","3","1","2","1","3","2","3","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1"
"2020/06/08 6:52:33 PM GMT-3","5","4","2","4","1","1","1","1","1","4","1","1","1","2","1","4","3","1","1","3","1","1","1","1","1","2","2","2","1","1","2","1","2","1","2","1","1","1","1","1","1","2","1","1","1","2","1","1","1","1","2","2","2","1","1"
"2020/06/08 6:54:11 PM GMT-3","4","4","3","3","4","2","4","4","4","4","3","4","4","4","3","5","5","4","3","5","2","3","3","3","3","2","2","2","2","2","2","2","3","2","3","2","2","2","3","3","3","3","3","3","4","3","2","2","2","2","2","3","3","3","3"
"2020/06/08 6:56:35 PM GMT-3","3","5","2","5","1","1","2","1","1","5","1","5","1","3","3","3","2","1","1","5","1","1","1","3","2","2","1","5","1","4","1","1","3","2","4","2","1","3","1","1","1","1","4","1","5","1","1","1","1","1","1","3","3","3","4"
"2020/06/08 7:14:13 PM GMT-3","2","3","1","1","1","1","2","1","1","5","1","4","1","3","1","3","2","1","1","4","1","2","1","1","1","2","1","1","1","2","2","1","3","1","3","1","1","1","1","2","2","1","3","1","3","1","1","1","1","1","1","1","2","2","2"
"2020/06/08 7:15:14 PM GMT-3","5","4","3","2","1","1","2","3","1","5","2","1","1","3","2","3","2","3","2","1","1","2","2","3","1","1","1","2","1","2","1","1","2","1","5","1","2","1","1","2","1","3","4","1","2","1","1","1","1","2","1","3","2","3","4"
"2020/06/08 7:24:32 PM GMT-3","5","4","3","2","1","1","2","2","3","5","3","4","3","4","4","3","4","2","1","4","1","1","1","2","1","2","2","2","2","2","2","2","2","1","3","2","1","1","1","1","1","2","2","1","2","2","1","1","1","1","3","2","3","1","2"
"2020/06/08 7:36:00 PM GMT-3","1","3","4","4","4","4","4","4","4","5","4","4","4","4","4","4","4","4","4","5","4","5","5","5","4","4","4","5","5","5","4","4","5","5","5","4","4","4","4","4","4","3","5","4","4","4","4","3","3","3","4","3","3","3","3"
"2020/06/08 7:37:40 PM GMT-3","4","4","3","3","2","1","1","2","1","4","3","2","1","3","1","2","1","2","1","2","3","2","2","2","1","3","1","3","1","2","3","1","2","3","4","2","3","3","1","2","2","1","4","1","4","2","1","1","1","2","1","3","4","1","5"
"2020/06/08 7:38:36 PM GMT-3","1","2","1","1","2","1","1","1","1","2","1","1","1","1","1","1","2","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2020/06/08 7:40:05 PM GMT-3","2","3","1","1","3","2","1","1","1","3","2","1","1","1","2","1","2","3","1","4","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2020/06/08 7:48:49 PM GMT-3","2","3","2","2","2","1","2","2","1","3","1","2","1","1","1","3","4","1","1","3","1","1","1","1","1","1","1","3","1","1","1","2","2","1","2","1","1","1","1","2","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1"
"2020/06/08 7:50:20 PM GMT-3","1","2","2","2","2","1","1","1","1","4","1","2","1","2","1","2","1","2","1","2","1","1","1","1","1","1","2","2","1","1","2","1","3","1","4","1","1","2","1","2","1","1","2","1","3","1","1","1","1","1","1","2","2","1","3"
"2020/06/08 7:52:33 PM GMT-3","2","3","3","3","3","1","4","4","3","3","3","3","2","4","3","4","1","3","2","5","1","2","2","4","2","2","2","3","2","3","4","2","5","3","5","1","5","4","3","4","2","2","5","3","2","2","1","1","1","1","2","2","2","1","3"
"2020/06/08 7:55:31 PM GMT-3","5","5","3","3","3","1","3","2","2","5","5","3","2","4","2","5","1","3","1","5","1","2","1","2","2","5","1","2","1","2","3","1","5","1","5","2","2","3","1","3","1","1","5","1","5","1","1","1","1","2","2","4","3","1","3"
"2020/06/08 7:58:15 PM GMT-3","2","4","4","2","1","1","1","1","1","5","1","1","1","1","1","4","1","4","1","5","1","1","1","1","1","1","1","1","1","2","1","1","1","1","3","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","2","1","1","1","2"
"2020/06/08 8:00:36 PM GMT-3","1","1","3","1","3","1","1","1","1","3","1","1","1","1","1","2","1","1","1","3","1","1","1","1","1","1","1","1","1","1","3","1","3","1","4","1","1","1","1","1","3","1","1","1","1","1","1","1","1","1","1","1","2","1","2"
"2020/06/08 8:05:22 PM GMT-3","2","1","2","1","3","1","1","3","2","4","1","2","2","3","2","3","2","1","1","4","1","2","1","2","2","1","1","4","1","3","1","1","3","2","3","1","2","3","1","1","1","1","3","1","3","1","1","1","1","1","1","2","2","1","3"
"2020/06/08 8:06:07 PM GMT-3","3","5","2","2","2","1","1","1","1","5","1","3","1","3","3","4","1","1","1","5","1","1","1","1","1","1","1","2","1","1","3","2","2","2","2","2","2","2","2","2","2","2","3","2","3","2","1","1","1","1","2","2","2","1","2"
"2020/06/08 8:11:40 PM GMT-3","5","5","5","5","5","1","2","2","2","5","5","5","5","5","5","5","3","4","2","4","1","3","1","4","1","3","3","3","2","2","2","3","3","3","3","2","2","2","3","2","1","1","3","1","3","3","1","1","1","1","4","4","4","2","4"
"2020/06/08 8:11:46 PM GMT-3","3","4","4","2","2","1","2","2","1","5","2","4","1","3","3","4","2","2","1","2","1","2","2","2","2","2","2","3","2","2","1","1","3","2","2","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1"
"2020/06/08 8:14:20 PM GMT-3","3","4","2","1","1","1","2","3","3","4","2","4","2","3","2","3","2","2","2","2","1","1","1","1","1","1","2","2","1","1","2","1","2","1","2","1","1","1","1","1","2","1","2","1","3","1","1","1","1","1","2","2","1","1","3"
"2020/06/08 8:14:57 PM GMT-3","1","5","1","1","2","1","1","2","1","4","1","1","1","1","3","4","1","1","1","5","1","1","1","1","1","1","1","2","1","1","1","1","2","1","1","1","1","1","1","3","2","1","1","1","2","1","1","1","1","1","1","2","2","1","2"
"2020/06/08 8:20:17 PM GMT-3","2","2","2","3","3","3","3","3","1","4","3","4","3","3","4","4","4","3","2","5","4","2","3","2","3","3","3","2","1","2","3","3","3","2","3","2","2","1","1","3","1","3","3","1","4","2","2","2","1","4","2","3","2","1","2"
"2020/06/08 8:25:45 PM GMT-3","1","5","5","4","1","1","2","1","1","5","1","3","1","2","1","5","4","3","1","4","1","1","2","3","1","1","4","4","2","2","3","1","3","1","5","1","2","1","1","2","1","1","2","1","2","2","1","1","1","1","1","1","2","1","3"
"2020/06/08 8:26:23 PM GMT-3","1","3","1","2","1","1","1","1","1","3","2","1","1","1","1","3","4","2","1","2","3","2","1","1","1","3","2","2","2","2","2","1","1","1","4","2","3","2","2","1","2","1","1","1","3","1","1","1","1","3","1","1","1","2","2"
"2020/06/08 8:29:35 PM GMT-3","3","5","2","1","2","1","3","1","1","4","1","3","1","1","1","4","2","1","1","3","1","1","1","1","1","1","1","3","1","3","1","1","3","2","4","1","3","2","1","2","1","1","1","1","1","1","1","1","1","1","1","1","3","1","3"
"2020/06/08 8:29:45 PM GMT-3","3","3","1","3","1","1","1","1","2","5","1","2","1","1","1","2","1","1","1","2","1","1","1","1","1","1","1","3","1","1","1","1","2","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
